财富,姓名,主要公司,相关行业,省份,城市,性别,年龄
82.5,邵建雄,禾迈股份,光伏逆变器,浙江,杭州,男,60
82.4,施永宏/李海燕,海底捞,火锅连锁,四川,成都,男/女,54/-
82.3,戴文渊/吴茗,第四范式,人工智能解决方案,北京,,男/女,41/-
82.3,张晋芳,集创北方,显示芯片设计,北京,,男,39
82.2,宋建波家族,南山集团,铝材、纺织、房地产,山东,龙口,男,54
82.2,昌敬,石头科技,扫地机器人,北京,,男,42
82.1,李琼,昆仑万维,网游、投资,北京,,女,47
81.9,孙怀庆/王晓蒲,丸美股份,眼霜,广东,广州,男/女,55/56
81.4,崔根良家族,亨通集团,电缆、热电、地产,江苏,吴江,男,66
81.1,吴凯庭,盈趣科技,智能硬件,福建,厦门,男,55
80.8,张学政,闻泰科技,芯片、光学模组、代工,湖北,黄石,男,49
80.6,卢盛林/卢治临,奥普特,机器视觉,广东,东莞,男/男,44/41
80.6,褚健,中控技术,自动化控制系统,浙江,杭州,男,61
80.5,吕绍林/程彩霞,博众精工,自动化设备、智能工厂,江苏,苏州,男/女,51/45
79.9,夏崇耀/袁黎雨,东方电缆,海缆、陆缆,浙江,宁波,男/女,65/-
79.8,杨建良/杭虹,弘元绿能,光伏、精密机床设备,江苏,无锡,男/女,55/56
79.5,宋飞家族,艾迪精密,液压破碎锤,山东,烟台,男,58
79.4,蒋伟/游捷,昊海生科,人工晶状体,上海,,男/女,60/62
79.3,郑效东家族,东富龙,医用冻干机,上海,,男,60
79.3,吴英,美畅股份,金刚石工具,陕西,咸阳,男,60
79.2,张镇潮,税友股份,财税信息化,浙江,杭州,男,57
79.2,秦龙,森麒麟,航空轮胎,山东,青岛,男,59
79.0,董凡,健帆生物,医疗器械,广东,珠海,男,54
78.8,郭满金,宏发股份,继电器,湖北,武汉,男,76
78.7,朱林瑶,华宝股份,香精香料,西藏,拉萨,女,54
78.6,黄联禧/左笑萍,联塑集团,塑料管道及管件,广东,佛山,男/女,61/57
78.3,石毅峰,爱美客,注射类医美产品,北京,,男,50
77.7,熊小川,美好医疗,医疗器械精密组件,广东,深圳,男,58
77.6,杜伟民,康泰生物,生物制药,广东,深圳,男,61
77.5,曹建伟,晶盛机电,半导体、光伏设备,浙江,绍兴,男,46
77.5,郭建刚家族,新宝股份,小家电ODM/OBM,广东,佛山,男,58
77.2,冯宇霞/周志文,昭衍新药/舒泰神,CRO、制药,北京,,女/男,60/59
76.8,吴学群家族,桃李面包,食品加工,辽宁,沈阳,男,57
76.3,陈泽民家族,三全食品,速冻米面食品,河南,郑州,男,81
76.1,曹克坚,开山集团,机械制造,浙江,衢州,男,62
75.9,李志远/靖宇清,金盘科技,输配电及控制设备,海南,海口,男/女,69/-
75.8,徐少春,金蝶国际,企业软件,广东,深圳,男,61
75.6,胡成中家族,德力西,低压电器、仪器仪表,浙江,温州,男,63
75.4,郭振宇家族,贝泰妮,护肤品,云南,昆明,男,61
75.0,朱孟依家族,合生创展,房地产,北京,,男,65
75.0,陈先保,洽洽食品,坚果零食,安徽,合肥,男,65
74.9,徐国忠家族,国茂股份,减速机,江苏,常州,男,61
74.7,刘兵家族,富森美,商业物业经营,四川,成都,男,56
74.4,李完小/崔燕霞,航天环宇,微波通信、卫星通信,湖南,长沙,男/女,58/58
74.3,易良昱家族,七喜集团,投资、创新药,广东,广州,男,29
74.1,姚奎章,养元饮品,食品饮料,河北,衡水,男,59
73.6,傅明康家族,日月股份,重大装备铸件,浙江,宁波,男,61
73.6,谭莉莉,海大集团,饲料,广东,广州,女,-
73.5,刘方毅,英科医疗,一次性手套、轮椅等,山东,淄博,男,54
73.4,程先锋,合肥亿帆药业,制药与生物科技,安徽,合肥,男,55
73.2,王锦华,金石资源,萤石矿、氟化工、含氟锂电,浙江,杭州,男,61
73.2,张则胜/张育民,怡景食品,投资、矿泉水,广东,深圳,男/男,54/-
72.9,王明旺家族,欣旺达,锂离子电池模组,广东,深圳,男,57
72.7,俞其兵,旗滨集团,玻璃,湖南,株洲,男,59
72.6,汤晓鸥家族,商汤科技,AI软件,北京,,男,-
72.6,付钢,百洋医药,医药品牌运营、批零,山东,青岛,男,54
72.4,黄达文,合盛硅业,硅胶、硅粉,浙江,嘉兴,男,64
72.3,罗玉龙家族,圣龙股份,汽车动力系统,浙江,宁波,男,68
72.0,梁勤,扬杰科技,电子元器件,江苏,扬州,男,53
71.9,张恭运,豪迈科技,轮胎模具、橡胶机械,山东,高密,男,61
71.8,薛向东家族,东华软件,软件,北京,,男,65
71.7,严立/王佳,启明星辰,信息安全产品,北京,,男/女,56/55
71.4,王强翔家族,共创草坪,人造草坪,江苏,淮安,男,53
71.0,唐晔,柏楚电子,激光切割控制系统,上海,,男,43
70.9,许连捷,恒安集团,妇女用品、纸制品,福建,泉州,男,71
70.8,马斌/陈小琴,神马电力,变电站、线路复合外绝缘,江苏,南通,男/女,53/54
70.5,吕义雄,上美股份,国货化妆品,上海,,男,46
70.4,商晓波/邓烨芳,鸿路钢构,钢结构,安徽,合肥,男/女,50/-
70.4,苗拥军,安图生物,化学制药,河南,郑州,男,48
70.2,詹克团,比特大陆,芯片、加密货币矿机,北京,,男,45
70.1,齐向东,奇安信,网络安全解决方案,北京,,男,60
70.0,曾而斌,海通发展,航运,福建,福州,男,52
69.7,黄敏,固德威,储能设备,江苏,苏州,男,51
68.9,池宇峰,完美世界,文化传媒,北京,,男,53
68.4,董增平,思源电气,电网设备,上海,,男,54
68.4,孙寿宽家族,嘉晨集团,冶金、煤化工、房地产,辽宁,营口,男,75
68.2,刘明辉,中国燃气,物业投资、金融、燃气,广东,深圳,男,61
68.1,金鑫,大金重工,风力发电塔架,辽宁,阜新,男,57
68.0,陈建成/陈嫣妮,卧龙电驱,电机及驱动方案,浙江,绍兴,男/女,65/42
67.8,蒲忠杰,乐普医疗,医疗器械,北京,,男,61
67.5,陶悦群,欧普康视,角膜塑形镜,安徽,合肥,男,64
67.3,许江南/许晶,天新药业,单体维生素,江西,乐平,男/女,62/37
67.3,孙洪军,艾为电子,音频、电源芯片,上海,,男,51
67.2,张毓强,中国巨石,玻璃纤维,浙江,桐乡,男,67
67.0,李勇,猿辅导,在线教育,北京,,男,50
66.9,杜锦豪/祁菊,艾力斯,创新药,上海,,男/女,70/72
66.8,钟怀军家族,紫燕食品,卤制品,上海,,男,60
66.7,刘铁鹰/吴冠江,智飞生物,生物制品,重庆,,女/男,-/56
66.7,阮水龙家族,浙江龙盛,化工,浙江,上虞,男,89
66.7,吴波,埃斯顿,自动化、工业机器人,江苏,南京,男,70
66.7,王德根,德康农牧,生猪养殖,四川,成都,男,53
66.6,陶春风,长鸿高科,热塑性弹性体,浙江,宁波,男,57
66.4,范浩/范一,茂莱光学,精密光学器件、镜头,江苏,南京,男/男,52/55
66.3,王正根,迈为股份,光伏、显示、半导体高端装备,江苏,苏州,男,52
